Word,Valence,Arousal,Dominance,subject_centric
adaptable,0.735,0.423,0.641,0
adaptation,0.663,0.365,0.609,0
add,0.728,0.49,0.554,1
added,0.562,0.405,0.509,0
addendum,0.392,0.37,0.418,0
adder,0.388,0.461,0.588,0
addict,0.075,0.696,0.327,0
addicted,0.156,0.712,0.483,0
addiction,0.18,0.806,0.42,0
addictive,0.302,0.683,0.472,0
addition,0.562,0.373,0.471,0
additional,0.673,0.462,0.526,0
additive,0.561,0.633,0.691,0
address,0.65,0.327,0.567,0
addressee,0.622,0.382,0.538,0
addresses,0.51,0.354,0.45,0
adept,0.594,0.539,0.789,0
adequacy,0.615,0.435,0.702,0
adequate,0.854,0.264,0.705,0
adhere,0.633,0.339,0.554,0
adherence,0.76,0.307,0.63,0
adherent,0.561,0.385,0.555,0
adhering,0.612,0.561,0.537,0
adhesion,0.521,0.445,0.586,0
adhesive,0.604,0.35,0.413,0
adieu,0.25,0.471,0.342,0
adipose,0.333,0.35,0.391,0
adjacency,0.365,0.417,0.375,0
adjacent,0.645,0.276,0.536,0
adjective,0.57,0.316,0.569,0
adjoining,0.52,0.4,0.393,0
adjourn,0.385,0.456,0.475,0
adjournment,0.438,0.51,0.37,0
adjudicate,0.559,0.52,0.683,0
adjudication,0.551,0.462,0.691,0
adjunct,0.459,0.44,0.426,0
adjust,0.647,0.327,0.638,0
adjuster,0.51,0.54,0.76,0
adjustment,0.59,0.52,0.661,0
adjuvant,0.51,0.5,0.456,0
admin,0.688,0.42,0.854,0
administer,0.635,0.425,0.86,0
administration,0.625,0.404,0.786,0
administrative,0.542,0.415,0.579,0
administrator,0.538,0.48,0.902,0
admirable,0.929,0.6,0.87,0
admiral,0.844,0.49,0.847,0
admiralty,0.594,0.547,0.733,0
admiration,0.969,0.583,0.726,0
admire,0.867,0.692,0.704,0
admired,0.917,0.56,0.815,0
admirer,0.796,0.72,0.65,0
admiring,0.867,0.578,0.629,0
admissibility,0.802,0.58,0.602,0
admissible,0.78,0.528,0.642,0
admission,0.802,0.415,0.732,0
admit,0.538,0.423,0.667,0
admittance,0.69,0.451,0.598,0
admitted,0.72,0.49,0.767,0
admitting,0.62,0.5,0.546,0
admixture,0.45,0.375,0.438,0
admonition,0.357,0.606,0.455,0
ado,0.52,0.423,0.385,1
adobe,0.5,0.319,0.328,0
adolescence,0.487,0.694,0.444,0
adolescent,0.781,0.68,0.509,0
adopt,0.694,0.612,0.701,0
adoption,0.625,0.566,0.589,0
adoptive,0.531,0.469,0.52,0
adorable,0.969,0.519,0.457,0
adoration,0.885,0.699,0.708,1
adore,0.854,0.438,0.657,1
adoring,0.885,0.62,0.717,0
adorn,0.91,0.424,0.482,0
adornment,0.918,0.373,0.377,0
adrenalin,0.865,0.92,0.786,0
adrenaline,0.765,0.965,0.825,0
adrift,0.398,0.486,0.23,0
adult,0.815,0.491,0.787,0
adulterated,0.188,0.865,0.37,0
adulterer,0.229,0.814,0.407,0
adultery,0.12,0.922,0.51,0
adulthood,0.541,0.454,0.652,0
advance,0.673,0.472,0.858,0
advanced,0.844,0.623,0.797,0
advancement,0.776,0.65,0.839,0
advancing,0.929,0.608,0.812,0
advantage,0.917,0.548,0.859,0
advantageous,0.837,0.64,0.789,0
advent,0.665,0.56,0.627,0
adventure,0.917,0.857,0.71,0
adventurer,0.781,0.839,0.868,0
adventures,0.812,0.764,0.749,0
adventurous,0.969,0.898,0.722,0
adversary,0.349,0.777,0.457,0
adverse,0.323,0.61,0.385,0
adversity,0.276,0.76,0.538,0
advertise,0.5,0.529,0.58,0
advertisement,0.6,0.566,0.539,0
advertising,0.622,0.608,0.632,0
adverts,0.551,0.5,0.595,0
advice,0.698,0.408,0.688,0
advisable,0.867,0.48,0.51,0
advise,0.76,0.393,0.705,0
advised,0.823,0.33,0.509,0
advisement,0.698,0.235,0.655,0
adviser,0.745,0.362,0.705,0
advisor,0.646,0.35,0.689,0
advisory,0.656,0.429,0.633,0
advocacy,0.5,0.646,0.731,0
advocate,0.551,0.53,0.818,0
aegis,0.49,0.439,0.462,0
aeration,0.55,0.5,0.433,0
aerial,0.615,0.461,0.463,0
aerobics,0.708,0.771,0.627,0
aerodrome,0.541,0.74,0.678,0
aerodynamic,0.561,0.724,0.728,0
aerodynamics,0.59,0.663,0.722,0
aeronautics,0.551,0.633,0.688,0
aeroplane,0.714,0.642,0.644,0
aerospace,0.643,0.52,0.779,0
aesthetic,0.708,0.442,0.526,0
aesthetics,0.847,0.327,0.549,0
aetiology,0.48,0.398,0.615,0
afar,0.396,0.373,0.358,0
affable,0.704,0.38,0.452,0
affair,0.52,0.459,0.657,0
affect,0.458,0.569,0.578,0
affecting,0.35,0.574,0.394,0
affection,0.898,0.559,0.696,0
affectionate,0.949,0.422,0.55,0
affections,0.76,0.547,0.655,0
affiche,0.479,0.265,0.402,0
affidavit,0.469,0.584,0.526,0
affiliated,0.673,0.519,0.535,0
affiliation,0.615,0.594,0.5,0
affinity,0.8,0.5,0.537,0
affirm,0.745,0.509,0.731,0
affirmation,0.75,0.5,0.689,0
affirmative,0.854,0.589,0.816,0
affirmatively,0.908,0.5,0.811,0
affix,0.438,0.335,0.411,0
afflict,0.302,0.555,0.293,0
afflicted,0.271,0.5,0.167,0
affliction,0.294,0.635,0.392,0
affluence,0.663,0.618,0.722,0
affluent,0.756,0.388,0.477,0
afford,0.571,0.58,0.575,0
affordable,0.84,0.398,0.493,0
affront,0.327,0.74,0.547,1
affronted,0.385,0.75,0.527,1
afield,0.594,0.37,0.373,0
afire,0.367,0.904,0.675,0
afloat,0.602,0.427,0.444,0
afore,0.5,0.337,0.382,0
aforementioned,0.49,0.316,0.408,0
aforesaid,0.531,0.358,0.478,0
afraid,0.01,0.775,0.245,1
afresh,0.643,0.521,0.48,0
aft,0.48,0.417,0.518,0
afterlife,0.571,0.567,0.568,0
aftermath,0.312,0.449,0.444,0
afternoon,0.533,0.388,0.339,0
aftershave,0.406,0.384,0.415,0
aftertaste,0.354,0.362,0.455,0
afterthought,0.396,0.392,0.349,0
aga,0.542,0.327,0.398,0
agape,0.612,0.529,0.464,1
agate,0.54,0.377,0.483,0
age,0.561,0.226,0.498,1
aged,0.135,0.365,0.236,1
agency,0.46,0.296,0.583,0
agenda,0.531,0.296,0.553,0
agent,0.48,0.439,0.755,0
agglomeration,0.45,0.765,0.509,0
aggravate,0.224,0.77,0.464,1
aggravated,0.079,0.76,0.43,0
aggravates,0.108,0.778,0.357,0
aggravating,0.257,0.794,0.64,1
aggravation,0.071,0.784,0.613,1
aggregate,0.73,0.378,0.556,0
aggregation,0.583,0.517,0.694,0
aggresive,0.059,0.971,0.639,0
aggression,0.094,0.929,0.533,0
aggressive,0.125,0.949,0.648,0
aggressively,0.25,0.926,0.688,0
aggressiveness,0.077,0.913,0.648,0
aggressor,0.146,0.948,0.823,0
agh,0.26,0.5,0.4,0
aghast,0.133,0.865,0.464,0
aghhh,0.281,0.635,0.243,0
agile,0.8,0.657,0.775,0
agility,0.72,0.702,0.815,0
aging,0.214,0.255,0.284,1
agitate,0.3,0.796,0.593,1
agitated,0.444,0.882,0.491,1
agitation,0.24,0.931,0.447,1
aglow,0.78,0.51,0.797,0
agnostic,0.306,0.396,0.574,0
ago,0.317,0.28,0.404,0
agonizing,0.083,0.8,0.34,1
agony,0.083,0.775,0.393,1
agoraphobia,0.127,0.712,0.438,0
agree,0.906,0.26,0.545,0
agreeable,0.906,0.5,0.696,1
agreed,0.797,0.449,0.574,0
agreeing,0.854,0.48,0.557,0
agreement,0.76,0.44,0.736,0
agressive,0.083,0.918,0.751,0
agricultural,0.686,0.321,0.473,0
agriculture,0.64,0.357,0.465,0
aground,0.333,0.34,0.445,0
agua,0.598,0.18,0.436,0
ahead,0.708,0.52,0.673,0
ahhh,0.562,0.517,0.241,0
ahhhhhhhh,0.552,0.649,0.288,0
ahoy,0.5,0.497,0.38,0
aid,0.796,0.491,0.541,1
aide,0.724,0.342,0.434,0
aiding,0.643,0.533,0.569,0
aids,0.561,0.48,0.5,0
ail,0.375,0.434,0.385,1
ailing,0.094,0.518,0.153,0
ailment,0.146,0.734,0.277,0
aim,0.481,0.569,0.567,0
aimless,0.15,0.267,0.183,0
air,0.708,0.163,0.427,1
airbag,0.51,0.402,0.433,0
airborne,0.542,0.519,0.385,0
aircraft,0.646,0.644,0.691,0
aircraft carrier,0.49,0.74,0.727,0
airfield,0.601,0.65,0.645,0
airhead,0.271,0.481,0.276,0
airlift,0.573,0.622,0.642,0
airline,0.65,0.482,0.688,0
airliner,0.667,0.777,0.647,0
airlock,0.398,0.52,0.447,0
airman,0.587,0.716,0.721,0
airplane,0.719,0.702,0.708,0
airport,0.729,0.684,0.682,0
airs,0.583,0.196,0.37,0
airship,0.542,0.472,0.529,0
airspace,0.562,0.51,0.64,0
airspeed,0.583,0.78,0.544,0
airstrip,0.55,0.69,0.649,0
airtight,0.479,0.381,0.57,0
airway,0.638,0.585,0.482,0
aisle,0.438,0.222,0.283,0
ait,0.385,0.39,0.402,0
ajar,0.46,0.413,0.446,0
aka,0.459,0.358,0.351,0
akin,0.639,0.343,0.523,1
alabaster,0.542,0.404,0.445,0
alarm,0.241,0.882,0.698,1
alarm clock,0.542,0.727,0.642,0
alarmed,0.188,0.822,0.492,1
alarming,0.204,0.89,0.585,1
alas,0.571,0.31,0.279,0
alb,0.521,0.38,0.427,0
albatross,0.5,0.445,0.527,0
albino,0.5,0.24,0.358,0
album,0.635,0.349,0.453,0
alchemy,0.541,0.583,0.693,0
alcohol,0.323,0.667,0.377,0
alcoholic,0.153,0.688,0.361,0
alcoholism,0.061,0.779,0.407,0
alcove,0.49,0.34,0.356,0
alderman,0.55,0.459,0.691,0
ale,0.53,0.45,0.358,0
alert,0.479,0.82,0.648,0
alertness,0.375,0.875,0.75,0
alerts,0.337,0.804,0.673,0
alfalfa,0.546,0.25,0.311,0
algebra,0.44,0.34,0.565,0
algebraic,0.531,0.412,0.441,0
algorithm,0.448,0.394,0.559,0
alias,0.541,0.353,0.333,0
alibi,0.396,0.528,0.556,0
alien,0.41,0.615,0.491,1
alienate,0.247,0.5,0.523,0
alienated,0.41,0.423,0.559,0
alienation,0.378,0.53,0.462,0
alight,0.667,0.657,0.605,0
align,0.656,0.364,0.627,0
aligned,0.583,0.275,0.553,0
alignment,0.643,0.412,0.683,0
alike,0.653,0.173,0.444,0
alimentation,0.781,0.551,0.602,0
alimony,0.612,0.477,0.464,0
aliquot,0.44,0.31,0.404,0
alive,0.816,0.637,0.731,0
alkali,0.49,0.35,0.408,0
alkaloids,0.433,0.562,0.402,0
allay,0.417,0.406,0.398,0
allegation,0.578,0.578,0.608,0
allege,0.418,0.482,0.587,0
alleged,0.365,0.522,0.52,0
allegiance,0.917,0.398,0.75,0
allegorical,0.517,0.558,0.598,0
allegory,0.615,0.58,0.509,0
allegro,0.635,0.627,0.453,0
allergic,0.135,0.549,0.273,0
allergy,0.296,0.606,0.389,0
alleviate,0.869,0.27,0.528,0
alleviation,0.735,0.2,0.491,0
alley,0.347,0.5,0.355,0
alleyway,0.357,0.471,0.382,0
alliance,0.696,0.473,0.769,0
allied,0.714,0.245,0.642,0
alligator,0.354,0.704,0.645,0
allocate,0.673,0.462,0.672,0
allocation,0.604,0.388,0.679,0
allot,0.622,0.481,0.616,0
allotment,0.6,0.39,0.64,0
allow,0.698,0.429,0.538,0
allowable,0.698,0.5,0.561,0
allowance,0.673,0.382,0.591,0
allowed,0.73,0.36,0.655,0
alloy,0.583,0.443,0.593,0
allsmiles,0.786,0.528,0.43,0
allure,0.804,0.585,0.686,0
alluring,0.837,0.745,0.843,0
allusion,0.44,0.308,0.462,0
alluvial,0.323,0.49,0.491,0
ally,0.792,0.32,0.688,0
almanac,0.688,0.19,0.412,0
almighty,0.938,0.874,0.958,0
almond,0.698,0.183,0.314,0
aloft,0.771,0.373,0.7,0
aloha,0.698,0.44,0.441,0
alone,0.333,0.167,0.216,0
alongside,0.458,0.333,0.347,0
aloof,0.189,0.423,0.302,0
aloud,0.458,0.713,0.75,0
alpha,0.708,0.34,0.755,0
alphabet,0.562,0.204,0.672,0
alphabetical,0.537,0.296,0.535,0
alpine,0.594,0.337,0.474,0
alreadyyyyy,0.592,0.717,0.351,0
altar,0.724,0.387,0.635,0
altar boy,0.434,0.206,0.35,0
alter,0.333,0.694,0.654,0
alteration,0.167,0.798,0.609,0
altercation,0.17,0.806,0.5,0
altered,0.255,0.765,0.5,0
alternate,0.625,0.363,0.589,0
alternating,0.48,0.494,0.542,0
alternative,0.628,0.373,0.631,0
altimeter,0.615,0.51,0.58,0
altitude,0.708,0.482,0.736,0
alto,0.656,0.404,0.73,0
altogether,0.833,0.324,0.644,0
aluminum,0.449,0.28,0.434,0
alumnus,0.633,0.368,0.422,0
alveolar,0.469,0.481,0.367,0
alzheimers,0.194,0.518,0.319,0
amalgam,0.438,0.333,0.51,0
amalgamation,0.406,0.47,0.531,0
amaretto,0.543,0.551,0.375,0
amass,0.552,0.465,0.465,0
amateur,0.469,0.5,0.409,0
amaze,0.896,0.843,0.783,1
amazed,0.796,0.779,0.533,0
amazedness,0.827,0.872,0.51,0
amazement,0.75,0.8,0.639,0
amazing,0.906,0.837,0.849,1
amazingly,0.918,0.765,0.92,0
ambassador,0.651,0.529,0.917,0
amber,0.635,0.308,0.369,0
ambience,0.735,0.356,0.426,0
ambient,0.625,0.36,0.582,0
ambiguity,0.164,0.46,0.37,0
ambiguous,0.265,0.462,0.358,0
ambit,0.479,0.38,0.386,1
ambition,0.51,0.804,0.661,1
ambitious,0.484,0.821,0.717,0
ambivalent,0.51,0.404,0.482,0
ambrosia,0.571,0.452,0.48,0
ambulance,0.5,0.75,0.609,0
ambush,0.281,0.83,0.5,0
ameliorate,0.77,0.548,0.747,0
amen,0.781,0.182,0.542,0
amenable,0.448,0.41,0.406,0
amend,0.688,0.406,0.658,0
amendment,0.531,0.459,0.606,0
amends,0.64,0.366,0.517,0
amenity,0.75,0.327,0.574,0
amethyst,0.622,0.406,0.517,0
amiable,0.847,0.29,0.483,0
amicable,0.875,0.33,0.507,0
amid,0.51,0.34,0.256,0
amidst,0.48,0.33,0.316,0
amino,0.551,0.402,0.433,0
ammo,0.323,0.765,0.621,0
ammonia,0.292,0.587,0.409,0
ammonium,0.354,0.396,0.368,0
ammunition,0.338,0.635,0.667,0
amnesia,0.296,0.33,0.308,0
amnesty,0.551,0.451,0.814,0
amorous,0.844,0.67,0.636,1
amorphous,0.327,0.402,0.349,0
amortization,0.592,0.491,0.522,0
amount,0.562,0.422,0.649,0
amour,0.865,0.48,0.652,0
amp,0.439,0.393,0.375,0
ampersand,0.48,0.448,0.483,0
amphetamines,0.133,0.667,0.526,0
amphibian,0.427,0.357,0.474,0
amphibious,0.479,0.346,0.445,0
amphitheater,0.653,0.48,0.545,0
ample,0.744,0.349,0.719,0
amplification,0.69,0.677,0.81,0
amplify,0.677,0.735,0.827,0
amplitude,0.694,0.439,0.692,0
amply,0.781,0.431,0.766,0
amputate,0.092,0.66,0.509,0
amputation,0.1,0.755,0.483,0
amuck,0.385,0.602,0.321,0
amulet,0.781,0.26,0.63,0
amuse,0.812,0.684,0.664,1
amused,0.942,0.847,0.596,1
amusement,0.929,0.837,0.803,1
amusing,0.96,0.829,0.632,1
ana,0.541,0.3,0.314,0
anaconda,0.146,0.83,0.54,0
anaesthesia,0.35,0.217,0.473,0
anaesthetic,0.449,0.268,0.509,0
anagram,0.552,0.327,0.449,0
anal,0.333,0.798,0.334,0
analgesic,0.417,0.321,0.441,0
analogous,0.531,0.27,0.5,0
analogue,0.57,0.32,0.446,0
analogy,0.51,0.367,0.509,0
analysis,0.729,0.448,0.705,0
analyst,0.604,0.415,0.755,0
analytic,0.665,0.521,0.634,0
analytical,0.625,0.324,0.8,0
analyze,0.667,0.462,0.71,0
analyzer,0.625,0.556,0.854,0
anaphylactic,0.378,0.588,0.5,0
anarchism,0.125,0.804,0.623,0
anarchist,0.204,0.7,0.759,0
anarchy,0.146,0.755,0.62,0
anastomosis,0.375,0.47,0.49,0
anathema,0.286,0.49,0.519,0
anatomic,0.562,0.442,0.546,0
anatomy,0.562,0.39,0.571,0
ancestor,0.592,0.388,0.594,0
ancestral,0.64,0.481,0.75,0
ancestry,0.708,0.519,0.717,0
anchor,0.52,0.284,0.564,0
anchorage,0.5,0.325,0.639,0
ancient,0.42,0.217,0.439,0
ancillary,0.449,0.442,0.278,0
androgen,0.255,0.523,0.527,0
android,0.663,0.436,0.5,0
anecdote,0.583,0.529,0.5,0
anemia,0.188,0.327,0.31,0
anemic,0.167,0.279,0.155,0
anemone,0.552,0.538,0.327,0
anesthesia,0.365,0.216,0.394,0
anesthesiologist,0.419,0.224,0.526,0
anesthetic,0.35,0.264,0.482,0
aneurysm,0.115,0.69,0.536,0
anew,0.771,0.358,0.385,0
angel,0.906,0.158,0.704,0
angelic,0.927,0.298,0.668,0
anger,0.167,0.865,0.657,1
angered,0.01,0.86,0.547,0
angermanagement,0.26,0.632,0.482,0
angina,0.23,0.63,0.464,0
angiogram,0.347,0.52,0.465,0
angiography,0.378,0.536,0.52,0
angle,0.541,0.33,0.455,0
angling,0.625,0.408,0.5,0
angora,0.529,0.425,0.405,0
angriest,0.094,0.892,0.43,0
angry,0.122,0.83,0.604,1
angrytweet,0.265,0.644,0.471,0
angst,0.167,0.888,0.333,0
anguish,0.153,0.792,0.265,1
anguished,0.135,0.72,0.307,1
angular,0.449,0.281,0.444,0
anhydrous,0.456,0.365,0.355,0
animal,0.521,0.51,0.513,0
animate,0.827,0.755,0.635,0
animated,0.823,0.676,0.538,0
animation,0.888,0.75,0.549,0
animosity,0.51,0.724,0.545,0
animus,0.698,0.676,0.466,0
ankle,0.5,0.274,0.234,1
anklet,0.41,0.276,0.302,0
annals,0.427,0.61,0.424,0
annex,0.594,0.35,0.458,0
annexation,0.342,0.5,0.555,0
annexe,0.584,0.35,0.392,0
annihilate,0.115,0.918,0.681,0
annihilated,0.08,0.76,0.324,0
annihilation,0.041,0.8,0.591,0
anniversary,0.88,0.77,0.723,0
annotate,0.592,0.469,0.441,0
annotation,0.604,0.47,0.619,0
announce,0.694,0.618,0.611,0
announcement,0.729,0.491,0.482,0
announcer,0.602,0.57,0.732,0
annoy,0.094,0.765,0.286,1
annoyance,0.167,0.718,0.342,1
annoyed,0.104,0.783,0.345,1
annoyin,0.26,0.573,0.352,1
annoying,0.082,0.853,0.348,1
annoys,0.146,0.778,0.435,0
annual,0.552,0.236,0.5,0
annuity,0.521,0.304,0.527,0
annul,0.25,0.448,0.364,0
annular,0.31,0.385,0.412,0
annulment,0.153,0.375,0.447,0
annulus,0.458,0.38,0.376,0
anointed,0.5,0.368,0.579,0
anointing,0.653,0.35,0.547,0
anomalous,0.281,0.48,0.423,0
anomaly,0.188,0.538,0.404,0
anon,0.479,0.354,0.298,0
anonymity,0.469,0.255,0.43,0
anonymous,0.396,0.291,0.431,0
anorexic,0.16,0.618,0.245,0
answer,0.537,0.373,0.661,0
answerable,0.708,0.481,0.75,0
answering,0.684,0.5,0.607,0
ant,0.448,0.216,0.216,1
antagonism,0.224,0.618,0.524,0
antagonist,0.24,0.615,0.7,0
antagonistic,0.296,0.604,0.565,0
antagonize,0.143,0.663,0.629,1
ante,0.448,0.32,0.417,0
antecedent,0.427,0.551,0.566,0
antelope,0.542,0.51,0.5,0
antenna,0.521,0.327,0.358,0
anterior,0.51,0.245,0.362,0
anthem,0.78,0.343,0.729,0
anthill,0.327,0.578,0.377,0
anthology,0.338,0.406,0.537,0
anthrax,0.188,0.73,0.5,0
anthropological,0.367,0.39,0.49,0
anthropologist,0.551,0.385,0.725,0
anthropology,0.49,0.367,0.582,0
anti,0.365,0.412,0.384,1
antiaircraft,0.33,0.622,0.629,0
antibiotic,0.51,0.373,0.658,0
antibiotics,0.448,0.406,0.557,0
antichrist,0.082,0.837,0.544,0
anticipate,0.622,0.469,0.667,0
anticipation,0.698,0.539,0.711,0
anticipatory,0.653,0.551,0.682,0
antics,0.448,0.74,0.236,0
antidote,0.541,0.49,0.629,0
antifungal,0.408,0.412,0.441,0
antigravity,0.43,0.714,0.658,0
antimony,0.378,0.398,0.49,0
antipathy,0.198,0.549,0.393,1
antiquarian,0.5,0.233,0.426,0
antiquated,0.42,0.392,0.236,0
antique,0.634,0.29,0.518,0
